1.62591969461 8.15479998207 0.0 [0, 2, 3, 2, 1, 2, 1, 0]
0.216773565453 1204096.1185 0.0 [1, 0, 2, 1, 2, 0, 3, 0]
0.614464322934 45.1707500024 0.0371073428194 [6, 2, 2, 2, 3, 0, 1, 0]
0.337096276282 19642.06875 0.0 [2, 0, 2, 0, 1, 1, 2, 0]
0.591334068845 80.0037499976 0.0309690070814 [2, 1, 3, 5, 3, 0, 1, 0]
0.67684444411 33.1837999954 0.0 [4, 2, 1, 0, 2, 3, 1, 1]
0.116519304418 221315.0464 0.0 [3, 1, 3, 0, 2, 0, 3, 0]
0.594803618659 57.1647999458 0.0 [1, 1, 1, 3, 1, 1, 1, 0]
3.29251971815 1.28780002594 0.0 [6, 2, 2, 2, 1, 3, 0, 0]
1.74480481966 1.89920005798 0.0 [7, 2, 1, 1, 1, 0, 0, 1]


3.64420757232 0.321250021458 0.0 [2, 2, 2, 2, 0, 1, 0, 0]
1.45904795319 0.465400028229 0.0 [2, 3, 1, 0, 2, 3, 0, 1]
1.30484845184 0.583800077438 0.0 [9, 3, 1, 0, 1, 1, 0, 1]
0.243126592687 853.124000018 0.0 [4, 3, 1, 4, 1, 0, 2, 1]
0.584967833976 8.04266661962 0.0126232352022 [3, 1, 2, 2, 3, 2, 1, 0]
0.296008244248 29.2832000809 0.0 [3, 2, 2, 3, 0, 1, 1, 0]
0.133870470991 241441.25325 0.0 [1, 1, 2, 0, 0, 3, 3, 0]
0.508100024894 24.0917999535 0.0154725864834 [9, 3, 3, 4, 3, 0, 1, 0]


