164.52510501 0.124098369325 0.0 [1, 0, 2, 0, 0, 1, 4, 3, 1, 1]
0.493919838905 6.62084273107 0.0 [1, 1, 0, 2, 2, 1, 2, 0, 0, 1]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.308467745781 1.51143212269 0.0 [0, 1, 0, 0, 3, 0, 0, 3, 0, 1]
164.52510501 0.124098369325 0.0 [1, 0, 2, 0, 0, 1, 4, 3, 1, 1]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.308467745781 1.51143212269 0.0 [0, 1, 0, 0, 3, 0, 0, 3, 0, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
164.52510501 0.124098369325 0.0 [1, 0, 2, 0, 0, 1, 4, 3, 1, 1]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
21.2621915607 0.170678561859 0.0 [0, 0, 0, 0, 0, 1, 4, 3, 0, 1]
0.0169112086296 10.4308362539 0.0 [0, 1, 0, 1, 0, 0, 3, 0, 0, 0]
0.165687019348 10.2361520664 0.0 [1, 1, 0, 2, 2, 0, 2, 0, 0, 0]
0.28862508138 1.43357579638 0.0 [2, 1, 3, 1, 0, 0, 0, 0, 1, 1]
0.00938062667847 10.456840015 0.0 [0, 2, 0, 1, 0, 0, 3, 3, 0, 0]
164.52510501 0.124098369325 0.0 [1, 0, 2, 0, 0, 1, 4, 3, 1, 1]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
21.2621915607 0.170678561859 0.0 [0, 0, 0, 0, 0, 1, 4, 3, 0, 1]
0.0169112086296 10.4308362539 0.0 [0, 1, 0, 1, 0, 0, 3, 0, 0, 0]
0.00938062667847 10.456840015 0.0 [0, 2, 0, 1, 0, 0, 3, 3, 0, 0]
0.187946975231 0.980060117054 0.0 [0, 0, 3, 1, 0, 0, 3, 0, 0, 0]
0.365530731201 0.43137310165 0.0 [0, 0, 0, 3, 2, 0, 2, 2, 1, 0]
0.0358229465485 3.62919801748 0.0 [0, 2, 0, 0, 2, 1, 0, 2, 0, 0]
0.0082718372345 3.60955075373 0.0 [0, 1, 0, 0, 3, 0, 0, 2, 0, 0]
164.52510501 0.124098369325 0.0 [1, 0, 2, 0, 0, 1, 4, 3, 1, 1]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
21.2621915607 0.170678561859 0.0 [0, 0, 0, 0, 0, 1, 4, 3, 0, 1]
0.00938062667847 10.456840015 0.0 [0, 2, 0, 1, 0, 0, 3, 3, 0, 0]
0.187946975231 0.980060117054 0.0 [0, 0, 3, 1, 0, 0, 3, 0, 0, 0]
0.365530731201 0.43137310165 0.0 [0, 0, 0, 3, 2, 0, 2, 2, 1, 0]
0.0082718372345 3.60955075373 0.0 [0, 1, 0, 0, 3, 0, 0, 2, 0, 0]
0.0180618286133 0.982700825037 0.0 [0, 0, 0, 1, 1, 0, 3, 2, 0, 0]
164.52510501 0.124098369325 0.0 [1, 0, 2, 0, 0, 1, 4, 3, 1, 1]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
21.2621915607 0.170678561859 0.0 [0, 0, 0, 0, 0, 1, 4, 3, 0, 1]
0.187946975231 0.980060117054 0.0 [0, 0, 3, 1, 0, 0, 3, 0, 0, 0]
0.365530731201 0.43137310165 0.0 [0, 0, 0, 3, 2, 0, 2, 2, 1, 0]
0.0082718372345 3.60955075373 0.0 [0, 1, 0, 0, 3, 0, 0, 2, 0, 0]
0.0180618286133 0.982700825037 0.0 [0, 0, 0, 1, 1, 0, 3, 2, 0, 0]
164.52510501 0.124098369325 0.0 [1, 0, 2, 0, 0, 1, 4, 3, 1, 1]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
21.2621915607 0.170678561859 0.0 [0, 0, 0, 0, 0, 1, 4, 3, 0, 1]
0.187946975231 0.980060117054 0.0 [0, 0, 3, 1, 0, 0, 3, 0, 0, 0]
0.365530731201 0.43137310165 0.0 [0, 0, 0, 3, 2, 0, 2, 2, 1, 0]
0.0082718372345 3.60955075373 0.0 [0, 1, 0, 0, 3, 0, 0, 2, 0, 0]
0.0180618286133 0.982700825037 0.0 [0, 0, 0, 1, 1, 0, 3, 2, 0, 0]
0.582780408859 0.172307104518 0.0 [1, 0, 2, 2, 0, 0, 3, 0, 1, 1]
164.52510501 0.124098369325 0.0 [1, 0, 2, 0, 0, 1, 4, 3, 1, 1]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
21.2621915607 0.170678561859 0.0 [0, 0, 0, 0, 0, 1, 4, 3, 0, 1]
0.187946975231 0.980060117054 0.0 [0, 0, 3, 1, 0, 0, 3, 0, 0, 0]
0.365530731201 0.43137310165 0.0 [0, 0, 0, 3, 2, 0, 2, 2, 1, 0]
0.0082718372345 3.60955075373 0.0 [0, 1, 0, 0, 3, 0, 0, 2, 0, 0]
0.0180618286133 0.982700825037 0.0 [0, 0, 0, 1, 1, 0, 3, 2, 0, 0]
0.582780408859 0.172307104518 0.0 [1, 0, 2, 2, 0, 0, 3, 0, 1, 1]
0.0055940747261 13.6476944193 0.0 [2, 2, 0, 0, 0, 0, 3, 2, 0, 0]
164.52510501 0.124098369325 0.0 [1, 0, 2, 0, 0, 1, 4, 3, 1, 1]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
21.2621915607 0.170678561859 0.0 [0, 0, 0, 0, 0, 1, 4, 3, 0, 1]
0.187946975231 0.980060117054 0.0 [0, 0, 3, 1, 0, 0, 3, 0, 0, 0]
0.365530731201 0.43137310165 0.0 [0, 0, 0, 3, 2, 0, 2, 2, 1, 0]
0.0082718372345 3.60955075373 0.0 [0, 1, 0, 0, 3, 0, 0, 2, 0, 0]
0.0180618286133 0.982700825037 0.0 [0, 0, 0, 1, 1, 0, 3, 2, 0, 0]
0.582780408859 0.172307104518 0.0 [1, 0, 2, 2, 0, 0, 3, 0, 1, 1]
0.0055940747261 13.6476944193 0.0 [2, 2, 0, 0, 0, 0, 3, 2, 0, 0]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
0.187946975231 0.980060117054 0.0 [0, 0, 3, 1, 0, 0, 3, 0, 0, 0]
0.365530731201 0.43137310165 0.0 [0, 0, 0, 3, 2, 0, 2, 2, 1, 0]
0.0082718372345 3.60955075373 0.0 [0, 1, 0, 0, 3, 0, 0, 2, 0, 0]
0.0180618286133 0.982700825037 0.0 [0, 0, 0, 1, 1, 0, 3, 2, 0, 0]
0.582780408859 0.172307104518 0.0 [1, 0, 2, 2, 0, 0, 3, 0, 1, 1]
0.0055940747261 13.6476944193 0.0 [2, 2, 0, 0, 0, 0, 3, 2, 0, 0]
1.21939314079 0.0488446732509 0.0 [2, 0, 4, 3, 1, 0, 2, 2, 0, 1]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
0.187946975231 0.980060117054 0.0 [0, 0, 3, 1, 0, 0, 3, 0, 0, 0]
0.365530731201 0.43137310165 0.0 [0, 0, 0, 3, 2, 0, 2, 2, 1, 0]
0.0082718372345 3.60955075373 0.0 [0, 1, 0, 0, 3, 0, 0, 2, 0, 0]
0.0180618286133 0.982700825037 0.0 [0, 0, 0, 1, 1, 0, 3, 2, 0, 0]
0.582780408859 0.172307104518 0.0 [1, 0, 2, 2, 0, 0, 3, 0, 1, 1]
0.0055940747261 13.6476944193 0.0 [2, 2, 0, 0, 0, 0, 3, 2, 0, 0]
1.21939314079 0.0488446732509 0.0 [2, 0, 4, 3, 1, 0, 2, 2, 0, 1]
0.009219789505 1.22000330416 0.0 [0, 0, 0, 0, 1, 0, 3, 2, 0, 0]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
0.187946975231 0.980060117054 0.0 [0, 0, 3, 1, 0, 0, 3, 0, 0, 0]
0.365530731201 0.43137310165 0.0 [0, 0, 0, 3, 2, 0, 2, 2, 1, 0]
0.0082718372345 3.60955075373 0.0 [0, 1, 0, 0, 3, 0, 0, 2, 0, 0]
0.0180618286133 0.982700825037 0.0 [0, 0, 0, 1, 1, 0, 3, 2, 0, 0]
0.582780408859 0.172307104518 0.0 [1, 0, 2, 2, 0, 0, 3, 0, 1, 1]
0.0055940747261 13.6476944193 0.0 [2, 2, 0, 0, 0, 0, 3, 2, 0, 0]
1.21939314079 0.0488446732509 0.0 [2, 0, 4, 3, 1, 0, 2, 2, 0, 1]
0.009219789505 1.22000330416 0.0 [0, 0, 0, 0, 1, 0, 3, 2, 0, 0]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
0.187946975231 0.980060117054 0.0 [0, 0, 3, 1, 0, 0, 3, 0, 0, 0]
0.365530731201 0.43137310165 0.0 [0, 0, 0, 3, 2, 0, 2, 2, 1, 0]
0.0082718372345 3.60955075373 0.0 [0, 1, 0, 0, 3, 0, 0, 2, 0, 0]
0.0180618286133 0.982700825037 0.0 [0, 0, 0, 1, 1, 0, 3, 2, 0, 0]
0.582780408859 0.172307104518 0.0 [1, 0, 2, 2, 0, 0, 3, 0, 1, 1]
0.0055940747261 13.6476944193 0.0 [2, 2, 0, 0, 0, 0, 3, 2, 0, 0]
1.21939314079 0.0488446732509 0.0 [2, 0, 4, 3, 1, 0, 2, 2, 0, 1]
0.009219789505 1.22000330416 0.0 [0, 0, 0, 0, 1, 0, 3, 2, 0, 0]
0.511121559143 0.388314578876 0.0 [0, 0, 4, 0, 0, 0, 3, 1, 1, 1]
0.0078540802002 10.9798774844 0.0 [0, 1, 0, 0, 2, 0, 3, 0, 0, 0]
