3.36266104352 0.0670000314713 0 [4, 3, 1, 1, 0, 2, 0, 0]
0.04234969572 29.702499958 0.00360321322783 [9, 3, 2, 1, 1, 0, 1, 1]
1.29904344805 0.348500013351 0.0522560413363 [0, 3, 1, 2, 3, 2, 0, 1]
0.648636938436 1.67800006866 0 [1, 2, 1, 0, 0, 2, 1, 0]
0.00820286498629 32.1795000134 0 [4, 2, 1, 1, 0, 0, 1, 1]
0.104147961074 3.85049999619 0 [5, 2, 2, 4, 0, 2, 1, 0]
0.00348451907562 773.54199996 0 [1, 2, 3, 0, 1, 1, 2, 0]
0.0067141005773 726.870499969 0 [5, 3, 3, 3, 0, 0, 2, 1]
1.78512875997 0.309000015259 0 [9, 3, 1, 0, 0, 2, 0, 1]
2.87793871075 0.091500043869 0 [3, 3, 1, 1, 1, 2, 0, 0]
3.29462697985 0.0900000333786 0 [1, 3, 1, 0, 2, 1, 0, 0]
0.521601946736 2.34800004005 0 [3, 2, 1, 0, 2, 2, 1, 0]
