1	0	2	1	0	3	1	3	1	1	2.20283677474e+12	4.17786322467	13.4904639721	12558	12558	10	30.0	15.0
1	0	2	1	0	3	1	3	1	1	2.20283677474e+12	4.17786322467	12.7901060581	12558	12558	10	30.0	15.0
1	0	2	1	0	3	1	3	1	1	2.20293329191e+12	4.15200206116	12.87322402	12558	12558	10	30.0	15.0
1	0	2	1	0	3	1	3	1	1	2.20293329191e+12	4.15200206116	12.8465359211	12558	12558	10	30.0	15.0
1	0	2	1	0	3	1	3	1	1	2.20293329191e+12	4.15200206116	12.7457711697	12558	12558	10	30.0	15.0
1	0	2	1	0	3	1	3	1	1	3.45848383881e+12	3.26906582791	8.91861200333	1095	1095	1	30.0	30.0
1	0	2	1	0	3	1	3	1	1	3.45848383881e+12	3.26906582791	8.85511207581	1095	1095	1	30.0	30.0
1	0	2	1	0	3	1	3	1	1	3.45848383881e+12	3.26906582791	8.8791821003	1095	1095	1	30.0	30.0
1	0	2	1	0	3	4	3	1	1	1.30445964075e+12	5.82754636605	8.89589214325	1095	1095	1	30.0	30.0
1	0	2	1	0	3	4	3	1	1	1.30431555602e+12	5.82800019706	8.71319699287	0	1095	1	30.0	30.0
1	0	2	1	0	3	4	3	1	1	8.05738485494e+11	8.37053189713	10.0361630917	0	6044	10	30.0	30.0
