499604.523917 5726139.55742
499559.001709 5719856.06234
493295.054492 5733906.37607
501040.401602 5721644.06343
501325.111123 5729419.75995
492012.524657 5729253.69305
495715.244746 5724372.07148
499696.386036 5728119.23108
498702.775927 5725800.78968
499014.702623 5727926.38427
501325.113096 5719500.11978
501880.859727 5725672.89227
498045.96505 5720958.82425
494163.007386 5731011.24389
493291.102424 5733464.215
494660.815438 5727288.75725
496294.878612 5725943.14441
495936.845344 5724008.82283
501329.315188 5718159.79159
490315.440461 5732047.76423
493893.724048 5727084.10972
500963.491939 5716491.4218
501613.544669 5727692.11682
500749.677073 5723191.84413
489626.759921 5729158.59332
498235.391571 5736584.87163
500987.188921 5724834.48557
495541.339363 5726478.9879
500732.457206 5724063.56558
499376.022722 5727964.34068
489332.426794 5732202.03928
496385.730813 5726890.40845
496226.438468 5726664.22889
497939.404535 5734156.29685
499098.825372 5725989.01217
488510.140605 5732800.72177
490021.105395 5727858.71669
493522.659411 5732884.62781
498690.18585 5730736.92054
490861.717347 5730323.29286
499901.634809 5730613.14435
487714.398376 5730850.5578
495189.155079 5722270.56804
497718.372671 5725650.48846
499515.779966 5723796.04269
501316.711951 5720490.84456
498385.201911 5722822.27897
494049.761268 5724072.98001
498195.397476 5726146.5945
494717.009757 5728213.13043
497902.655208 5728259.05144
497961.330886 5725513.27441
499185.644026 5726596.23983
493440.170079 5727031.99105
487385.774672 5732445.80271
502098.046398 5724966.42051
498401.102554 5735655.96383
498514.073973 5727534.04952
492691.605699 5724677.76564
492853.655109 5724309.03103
502671.959758 5727967.9625
490291.230094 5729679.74412
495734.936298 5728508.1424
497167.98692 5724034.56453
491526.698314 5726175.90412
497706.945467 5723419.56838
495265.690254 5733591.73629
493823.969841 5730204.61529
495817.211924 5735023.75205
492871.755099 5732608.98325
491790.332532 5725653.86916
492467.271955 5734663.95868
495396.703328 5731250.50895
500388.292074 5725119.81339
