0.0	10.8	125.8	4.838	30.97
0.0063	10.79	451.2	29.55	81.57
0.0125	10.78	262.7	76.2	52.06
0.0188	10.76	436.6	86.26	79.88
0.025	10.75	489.4	139.6	82.83
0.0312	10.74	484.0	193.9	78.42
0.0375	10.73	507.1	248.8	77.5
0.0438	10.71	564.8	313.1	81.22
0.05	10.7	611.3	382.4	81.97
0.0563	10.68	670.3	454.3	84.68
0.0625	10.66	729.9	529.2	87.53
0.0688	10.64	798.6	607.4	91.33
0.075	10.62	872.0	686.8	95.66
0.0813	10.61	950.8	767.2	100.2
0.0875	10.59	1037.0	850.4	104.3
0.0938	10.57	1126.0	929.7	110.2
0.1	10.55	1213.0	1007.0	114.7
0.1063	10.55	1290.0	1082.0	121.5
0.1125	10.55	1418.0	1160.0	131.5
0.1188	10.55	1553.0	1239.0	140.6
0.125	10.55	1675.0	1313.0	148.4
0.1313	10.55	1807.0	1385.0	157.7
0.1375	10.54	1946.0	1456.0	168.5
0.1438	10.54	2085.0	1525.0	178.8
0.15	10.54	2228.0	1589.0	189.6
0.1562	10.56	2378.0	1654.0	200.9
0.1625	10.57	2525.0	1715.0	212.1
0.1688	10.59	2698.0	1778.0	223.9
0.175	10.6	2857.0	1836.0	236.5
0.1813	10.62	3006.0	1895.0	248.3
0.1875	10.63	3166.0	1952.0	260.3
0.1938	10.64	3323.0	2008.0	272.1
0.2	10.66	3481.0	2062.0	284.1
0.2063	10.67	3646.0	2117.0	296.5
0.2125	10.68	3806.0	2172.0	308.1
0.2188	10.69	3976.0	2229.0	320.2
0.225	10.7	4156.0	2288.0	333.0
0.2313	10.71	4325.0	2345.0	345.0
0.2375	10.72	4497.0	2403.0	357.0
0.2438	10.73	4662.0	2460.0	369.0
0.25	10.73	4814.0	2515.0	381.0
0.2563	10.72	4971.0	2572.0	392.9
0.2625	10.7	5131.0	2629.0	404.4
0.2687	10.69	5287.0	2686.0	415.6
0.275	10.67	5437.0	2740.0	426.7
0.2812	10.66	5581.0	2793.0	437.2
0.2875	10.64	5726.0	2846.0	447.4
0.2938	10.63	5871.0	2897.0	457.4
0.3	10.61	6010.0	2945.0	466.9
0.3063	10.6	6134.0	2989.0	475.5
0.3125	10.6	6256.0	3029.0	483.9
0.3188	10.59	6376.0	3067.0	492.3
0.325	10.58	6491.0	3100.0	499.8
0.3313	10.57	6603.0	3129.0	507.1
0.3375	10.56	6701.0	3153.0	513.9
0.3438	10.55	6780.0	3169.0	519.7
0.35	10.54	6868.0	3184.0	526.1
0.3563	10.52	6951.0	3191.0	532.9
0.3625	10.49	7054.0	3200.0	538.8
0.3688	10.47	7149.0	3200.0	544.4
0.375	10.44	7227.0	3196.0	549.7
0.3813	10.42	7306.0	3189.0	554.6
0.3875	10.39	7383.0	3178.0	559.1
0.3938	10.37	7454.0	3163.0	563.9
0.4	10.34	7522.0	3145.0	568.1
0.4062	10.34	7586.0	3125.0	572.4
0.4125	10.33	7647.0	3103.0	576.4
0.4188	10.33	7705.0	3080.0	579.8
0.425	10.32	7759.0	3057.0	582.8
0.4313	10.31	7815.0	3033.0	586.0
0.4375	10.31	7865.0	3011.0	588.9
0.4438	10.3	7910.0	2986.0	591.6
0.45	10.3	7950.0	2965.0	593.0
0.4563	10.3	7986.0	2944.0	594.5
0.4625	10.31	8020.0	2926.0	596.5
0.4688	10.31	8071.0	2913.0	598.9
0.475	10.32	8106.0	2902.0	600.3
0.4813	10.32	8137.0	2893.0	603.5
0.4875	10.33	8160.0	2885.0	605.6
0.4938	10.34	8181.0	2883.0	606.5
0.5	10.34	8204.0	2885.0	608.1
0.5062	10.35	8226.0	2890.0	609.7
0.5125	10.36	8243.0	2900.0	611.5
0.5188	10.38	8258.0	2913.0	612.8
0.525	10.39	8271.0	2932.0	614.2
0.5312	10.4	8282.0	2953.0	615.9
0.5375	10.41	8291.0	2976.0	619.0
0.5438	10.42	8297.0	3005.0	621.1
0.55	10.43	8302.0	3039.0	622.1
0.5563	10.41	8306.0	3076.0	623.6
0.5625	10.39	8309.0	3115.0	625.6
0.5687	10.37	8310.0	3157.0	627.5
0.575	10.36	8310.0	3201.0	629.5
0.5813	10.34	8308.0	3248.0	631.2
0.5875	10.32	8301.0	3297.0	632.5
0.5938	10.3	8296.0	3347.0	634.1
0.6	10.28	8297.0	3399.0	635.9
0.6063	10.27	8299.0	3453.0	637.4
0.6125	10.26	8294.0	3507.0	638.7
0.6188	10.24	8294.0	3562.0	640.5
0.625	10.23	8295.0	3617.0	642.0
0.6313	10.22	8295.0	3673.0	643.6
0.6375	10.2	8298.0	3730.0	645.7
0.6438	10.19	8299.0	3786.0	647.1
0.65	10.18	8293.0	3842.0	647.8
0.6562	10.2	8291.0	3898.0	649.1
0.6625	10.22	8290.0	3954.0	650.7
0.6688	10.24	8287.0	4010.0	651.8
0.675	10.26	8286.0	4067.0	652.8
0.6813	10.27	8286.0	4123.0	653.9
0.6875	10.29	8288.0	4179.0	654.9
0.6938	10.31	8288.0	4236.0	655.3
0.7	10.33	8287.0	4293.0	655.4
0.7063	10.32	8288.0	4350.0	655.6
0.7125	10.32	8285.0	4406.0	655.4
0.7188	10.31	8283.0	4463.0	655.0
0.725	10.3	8283.0	4521.0	654.4
0.7313	10.3	8277.0	4577.0	652.8
0.7375	10.29	8267.0	4633.0	651.2
0.7438	10.28	8277.0	4690.0	652.2
0.75	10.28	8283.0	4746.0	652.0
0.7563	10.26	8289.0	4802.0	651.3
0.7625	10.24	8299.0	4858.0	651.0
0.7688	10.23	8309.0	4912.0	650.1
0.775	10.21	8323.0	4966.0	649.6
0.7812	10.19	8346.0	5019.0	651.0
0.7875	10.18	8369.0	5069.0	651.8
0.7938	10.16	8370.0	5115.0	649.2
0.8	10.15	8373.0	5158.0	647.3
0.8063	10.15	8378.0	5198.0	646.2
0.8125	10.16	8381.0	5235.0	644.8
0.8188	10.17	8385.0	5267.0	643.4
0.825	10.18	8389.0	5295.0	642.1
0.8313	10.19	8397.0	5319.0	641.6
0.8375	10.19	8406.0	5339.0	641.0
0.8438	10.2	8415.0	5353.0	640.6
0.85	10.21	8425.0	5362.0	640.3
0.8563	10.19	8437.0	5366.0	640.2
0.8625	10.17	8449.0	5365.0	640.8
0.8688	10.15	8462.0	5358.0	641.7
0.875	10.13	8467.0	5344.0	641.9
0.8813	10.11	8468.0	5325.0	642.0
0.8875	10.09	8480.0	5302.0	643.5
0.8938	10.07	8498.0	5274.0	645.8
0.9	10.05	8513.0	5242.0	647.8
