0.0	6.6276391511
0.01	6.6276218289
0.02	6.6276044401
0.03	6.6275869749
0.04	6.6275694351
0.05	6.6275518223
0.06	6.6275341381
0.07	6.6275163841
0.08	6.6274985620
0.09	6.6274806737
0.1	6.6274627207
0.11	6.6274447050
0.12	6.6274266282
0.13	6.6274084923
0.14	6.6273902990
0.15	6.6273720503
0.16	6.6273537481
0.17	6.6273353944
0.18	6.6273169911
0.19	6.6272985402
0.2	6.6272800437
0.21	6.6272615038
0.22	6.6272429226
0.23	6.6272243021
0.24	6.6272056445
0.25	6.6271869520
0.26	6.6271682269
0.27	6.6271494714
0.28	6.6271306878
0.29	6.6271118785
0.3	6.6270930457
0.31	6.6270741919
0.32	6.6270553194
0.33	6.6270364308
0.34	6.6270175286
0.35	6.6269986152
0.36	6.6269796933
0.37	6.6269607654
0.38	6.6269418341
0.39	6.6269229022
0.4	6.6269039723
0.41	6.6268850472
0.42	6.6268661296
0.43	6.6268472224
0.44	6.6268283283
0.45	6.6268094504
0.46	6.6267905915
0.47	6.6267717546
0.48	6.6267529426
0.49	6.6267341587
0.5	6.6267154059
0.51	6.6266966873
0.52	6.6266780061
0.53	6.6266593655
0.54	6.6266407687
0.55	6.6266222189
0.56	6.6266037196
0.57	6.6265852741
0.58	6.6265668857
0.59	6.6265485580
0.6	6.6265302943
0.61	6.6265120983
0.62	6.6264939735
0.63	6.6264759234
0.64	6.6264579519
0.65	6.6264400625
0.66	6.6264222590
0.67	6.6264045452
0.68	6.6263869250
0.69	6.6263694021
0.7	6.6263519806
0.71	6.6263346643
0.72	6.6263174573
0.73	6.6263003637
0.74	6.6262833876
0.75	6.6262665331
0.76	6.6262498044
0.77	6.6262332057
0.78	6.6262167414
0.79	6.6262004158
0.8	6.6261842333
0.81	6.6261681983
0.82	6.6261523152
0.83	6.6261365887
0.84	6.6261210234
0.85	6.6261056237
0.86	6.6260903945
0.87	6.6260753405
0.88	6.6260604664
0.89	6.6260457771
0.9	6.6260312774
0.91	6.6260169724
0.92	6.6260028669
0.93	6.6259889661
0.94	6.6259752750
0.95	6.6259617987
0.96	6.6259485425
0.97	6.6259355116
0.98	6.6259227114
0.99	6.6259101470
1.0	6.6258978241
1.01	6.6258857480
1.02	6.6258739243
1.03	6.6258623585
1.04	6.6258510563
1.05	6.6258400233
1.06	6.6258292652
1.07	6.6258187880
1.08	6.6258085974
1.09	6.6257986993
1.1	6.6257890997
1.11	6.6257798045
1.12	6.6257708200
1.13	6.6257621522
1.14	6.6257538072
1.15	6.6257457914
1.16	6.6257381111
1.17	6.6257307725
1.18	6.6257237822
1.19	6.6257171465
1.2	6.6257108721
1.21	6.6257049655
1.22	6.6256994333
1.23	6.6256942823
1.24	6.6256895193
1.25	6.6256851510
1.26	6.6256811844
1.27	6.6256776264
1.28	6.6256744840
1.29	6.6256717642
1.3	6.6256694743
1.31	6.6256676213
1.32	6.6256662125
1.33	6.6256652552
1.34	6.6256647568
1.35	6.6256647246
1.36	6.6256651663
1.37	6.6256660892
1.38	6.6256675011
1.39	6.6256694095
1.4	6.6256718222
1.41	6.6256747470
1.42	6.6256781917
1.43	6.6256821642
1.44	6.6256866725
1.45	6.6256917246
1.46	6.6256973285
1.47	6.6257034925
1.48	6.6257102246
1.49	6.6257175332
1.5	6.6257254266
1.51	6.6257339132
1.52	6.6257430014
1.53	6.6257526996
1.54	6.6257630165
1.55	6.6257739607
1.56	6.6257855407
1.57	6.6257977655
1.58	6.6258106437
1.59	6.6258241842
1.6	6.6258383958
1.61	6.6258532877
1.62	6.6258688687
1.63	6.6258851480
1.64	6.6259021346
1.65	6.6259198378
1.66	6.6259382669
1.67	6.6259574310
1.68	6.6259773396
1.69	6.6259980021
1.7	6.6260194280
1.71	6.6260416267
1.72	6.6260646078
1.73	6.6260883810
1.74	6.6261129559
1.75	6.6261383423
1.76	6.6261645499
1.77	6.6261915886
1.78	6.6262194682
1.79	6.6262481987
1.8	6.6262777901
1.81	6.6263082524
1.82	6.6263395957
1.83	6.6263718300
1.84	6.6264049657
1.85	6.6264390128
1.86	6.6264739818
1.87	6.6265098827
1.88	6.6265467261
1.89	6.6265845224
1.9	6.6266232818
1.91	6.6266630151
1.92	6.6267037326
1.93	6.6267454449
1.94	6.6267881626
1.95	6.6268318964
1.96	6.6268766570
1.97	6.6269224549
1.98	6.6269693011
1.99	6.6270172063
2.0	6.6270661813
2.01	6.6271162370
2.02	6.6271673841
2.03	6.6272196337
2.04	6.6272729967
2.05	6.6273274841
2.06	6.6273831068
2.07	6.6274398758
2.08	6.6274978023
2.09	6.6275568972
2.1	6.6276171718
2.11	6.6276786370
2.12	6.6277413040
2.13	6.6278051840
2.14	6.6278702881
2.15	6.6279366276
2.16	6.6280042136
2.17	6.6280730573
2.18	6.6281431700
2.19	6.6282145629
2.2	6.6282872472
2.21	6.6283612343
2.22	6.6284365353
2.23	6.6285131615
2.24	6.6285911242
2.25	6.6286704346
2.26	6.6287511041
2.27	6.6288331438
2.28	6.6289165652
2.29	6.6290013793
2.3	6.6290875975
2.31	6.6291752311
2.32	6.6292642912
2.33	6.6293547890
2.34	6.6294467359
2.35	6.6295401430
2.36	6.6296350215
2.37	6.6297313826
2.38	6.6298292373
2.39	6.6299285969
2.4	6.6300294724
2.41	6.6301318750
2.42	6.6302358157
2.43	6.6303413054
2.44	6.6304483553
2.45	6.6305569762
2.46	6.6306671792
2.47	6.6307789750
2.48	6.6308923746
2.49	6.6310073889
2.5	6.6311240285
2.51	6.6312423042
2.52	6.6313622267
2.53	6.6314838068
